															
	DFL Experiment														
															
	For model: Using SimpleNet for CIFAR10/100, CNN for MNIST.					mid-round-testing = false		Note: For pseudo running, always enable Pseudo option in Nebula	Note: Random topo will have random probability 0.2						
	Default: 100 rounds, 2 epochs/round, 20 nodes.					pcr-apply-mode = all_round		Note: For normal running,  enable mid-round testing in Nebula if comparing againt Pseu							
															
					Pending			RTC			MNIST (0.3) DFedAvg Ring ALIE RTC				
					Pending			None			MNIST (0.3) DFedAvg Ring ALIE				
					Pending			SCCLIP			MNIST (0.3) DFedAvg Ring ALIE SCCLIP				
															
	MNIST	Dir(0.3)	Ring	DFedAvg	Pending	10%	DISSENSUS	PRT			MNIST (0.3) DFedAvg Ring				
					Pending			BALANCE			MNIST (0.3) DFedAvg Ring DISSENSUS BALANCE				
					Pending			RTC			MNIST (0.3) DFedAvg Ring DISSENSUS RTC				
					Pending			None			MNIST (0.3) DFedAvg Ring DISSENSUS				
					Pending			SCCLIP			MNIST (0.3) DFedAvg Ring DISSENSUS SCCLIP				
															
	MNIST	Dir(0.3)	Ring	DFedAvg	Pending	20%	DISSENSUS	PRT			MNIST (0.3) DFedAvg Ring				
					Pending			BALANCE			MNIST (0.3) DFedAvg Ring DISSENSUS BALANCE				
					Pending			RTC			MNIST (0.3) DFedAvg Ring DISSENSUS RTC				
					Pending			None			MNIST (0.3) DFedAvg Ring DISSENSUS				
					Pending			SCCLIP			MNIST (0.3) DFedAvg Ring DISSENSUS SCCLIP				
															
	CIFAR 10	Dir(0.3)	Ring	DFedAvg	Pending	20%	DISSENSUS	PRT			Cifar10 (0.3) DFedAvg Ring				
					Pending			BALANCE			Cifar10 (0.3) DFedAvg Ring DISSENSUS BALANCE				
					Pending			RTC			Cifar10 (0.3) DFedAvg Ring DISSENSUS RTC				
					Pending			None			Cifar10 (0.3) DFedAvg Ring DISSENSUS				
					Pending			SCCLIP			Cifar10 (0.3) DFedAvg Ring DISSENSUS SCCLIP				
															
															
															
															
	Dataset	Data distribution	Topology	Aggregation	Status	Byzantine percentage	Attack	Defense	Note	Port	Scenario title	ID	Legend	Figure link	Figure_id
	MNIST	Dir(0.05)	Ring	DFedAvg + PCR		10%	DISSENSUS	PRT			MNIST (0.05) DFedAvg + PCR Ring				
				DFedAvg				PRT			MNIST (0.05) DFedAvg Ring				
				DFedAvg				None			MNIST (0.05) DFedAvg Ring				
				DFedAvg				RTC			MNIST (0.05) DFedAvg Ring				
				DFedAvg + PCR				RTC			MNIST (0.05) DFedAvg + PCR Ring				
															
	CIFAR 10	Dir(0.05)	Ring	DFedAvg + PCR		10%	DISSENSUS	PRT			Cifar10 (0.05) DFedAvg + PCR Ring				
				DFedAvg				PRT			Cifar10 (0.05) DFedAvg Ring				
				DFedAvg				None			Cifar10 (0.05) DFedAvg Ring				
				DFedAvg				RTC			Cifar10 (0.05) DFedAvg Ring				
				DFedAvg + PCR				RTC			Cifar10 (0.05) DFedAvg + PCR Ring				
